komentar,platform,clean,sentimen
Gw liat trailer ny aja mau copot jantung gara2 banyak jumpscare nya. Belom lagi liat full movie ny di bioskop. Mantap2!! Filem pak Joko Anway emang ngak pernah bikin kita semua pada kecewa.,youtube,gw liat trailer ny aja copot jantung gara jumpscare nya bom liat full movie ny bioskop mantap filem joko anway emang ngak bikin kecewa,positif
Artis malysia tuhh peran ayah nya,youtube,artis malysia tuhh peran ayah nya,netral
It was scary as hell😂 joko anwar is no joke. I hate you that im afraid to go to jamban at night 😅,youtube,it was scary as hell joko anwar is no joke i hate you that im afraid to go to jamban at night,netral
Alur cerita ngawur gak masuk akaal,youtube,alur cerita ngawur gak masuk akaal,netral
Aleksis blackberry,youtube,aleksis blackberry,netral
Hotel gajah Mada jalan Hayam Wuruk (Ike fristiyanti)🇮🇩❤ Oakwood teku hapi 🇲🇾,youtube,hotel gajah mada jalan hayam wuruk ike fristiyanti oakwood teku hap,netral
Oakwood teku hapi 🇲🇾🐯🍉👻,youtube,oakwood teku hap,netral
Jokowi,youtube,jokowi,netral
"Penonton sesuai sama trailer 6,3jt keren parah",youtube,tonton sesuai trailer jt keren parah,positif
😄,youtube,,netral
PAJKYU MOTANAN,youtube,pajkyu motanan,netral
Nunggu yg ke3,youtube,nunggu yg,netral
Mau yang pengabdi setan 3 - cerita ibu dan bapaknya ikut sekte sesat tuhhh,youtube,abdi setan cerita bapak sekte sesat tuhhh,netral
Takut Pengabdi Setan 2 communion film yang jernih filmnya Itu Pengabdi Setan 2 communion yang jernih karena setan 2 communion yang jernih 13,youtube,takut abdi setan communion film jernih film abdi setan communion jernih setan communion jernih,netral
"Ada teori kenapa mereka mati walau tak bersalah,karena raminom menuntut balas dengan alasan gagal membunuh keluarga rini yang menyembahnya,dan untuk menuntaskannya para anggota sekte meminta tumbal 1000 jiwa untuk raminom,dan disaat itu mereka yang seharusnya mati di lift harus dibunuh secara berbeda beda.",youtube,teori mati bersalahkarena raminom tuntut balas alas gagal bunuh keluarga rini menyembahnyadan tuntas anggota sekte tumbal jiwa raminomdan saat mati lift bunuh beda beda,negatif
iya,youtube,iya,netral
Lo aja yg kagak paham,youtube,lo aja yg kagak paham,netral
nonton yang dari pertama,youtube,nonton,netral
Film diperuntukkan utk penyuka plot rumit dan deep ga ccok utk org yg suka jumpscare doang.. Coba nntn hereditary pst lu bakal lbh pusing wkwk,youtube,film untuk utk suka plot rumit deep ga ccok utk org yg suka jumpscare doang coba nntn hereditary pst lu lbh pusing wkwk,positif
"Sbnrnya ini ga rumit""amat kok..",youtube,sbnrnya ga rumitamat,netral
pemuja raminom semua 🤣,youtube,puja raminom,netral
Scene lift nya 😱,youtube,scene lift nya,netral
"baru sekali ntn film joko anwar, jujur keren sih berasa bgt horrornya, walaupun story nya masi agak dipaksa, tp namanya genre horror harus horrornya yg mencekam😁",youtube,ntn film joko anwar jujur keren sih asa bgt horrornya story nya mas paksa tp nama genre horror horrornya yg cekam,positif
"Baru juga mulai,Langsung horor"" Aja😅",youtube,mulailangsung horor aja,netral
"3 orang yang mati. Pak ustad Tari dan Dino berhubungan dengan Toni, Toni memperbaikan radio dan habis itu dibuang disampah dan Tari mati dipembuangan sampah, Pak ustad minta dipijitin pinggangnya yang encok matinya pak ustadnya pinggangnya jadi pengkor dan dino minta ambilin garpu matinya kena garpu.",youtube,orang mati ustad tari dino hubung ton ton baik radio habis buang sampah tari mati buang sampah ustad dipijitin pinggang encok mati ustad pinggang pengkor dino ambilin garpu mati kena garpu,netral
"vibes film the raid 
kesan kumuh digedung terbengkalay tempat markas gembong narkoba hidup",youtube,vibes film the raid kesan kumuh gedung terbengkalay markas gembong narkoba hidup,netral
Pengabdi,youtube,abdi,netral
Good trailer 👌 Love from  🇮🇳,youtube,good trailer love from,netral
Q heran gini doang kok serem,youtube,q heran gin doang rem,netral
"Gue kira bakalan lebih baik film nya,eh ternyata malah boring nonton nya,kebanyakan efek suara yang gak jelas,serem bukan karena film nya,tapi dari sound nya aja,ceritanya malah keliatan seperti di buat buat,gak tampak nyata,😂🤣
Sorry gue cuma ngomong jujur aja,gue dari tahun 90an penggemar film makanya saya tau mana film berkualitas dan tidak,semoga kedepannya bisa lebih baik lagi,jangan terlalu di beri efek suara seram,tapi cerita dan alur nya harus tampak real dan menakutkan,masukan aja",youtube,gue film nyaeh boring nonton nyakebanyakan efek suara gak jelasserem film nyatapi sound nya ajaceritanya liat buatgak nyata sorry gue ngomong jujur ajague an gemar film tau film kualitas tidaksemoga depan lagijangan efek suara seramtapi cerita alur nya real menakutkanmasukan aja,positif
"Film pengabdi setan 2 menit 10:36 ada motor mio soul gt biru putih,mang tahun 1980an udah ada?",youtube,film abdi setan menit motor mio soul gt biru putihmang an udah,netral
Hantu nya ngak seram...jerit2 aja lebih...i give 3 star for grafik,youtube,hantu nya ngak seramjerit aja lebih give star for grafik,positif
"Kenapa sih film horo Indonesia berisik banget, suara percakapan jadi sering tenggelam? Jadi gak realistis.... trus, ustadznya kok dimatiin terus di PS 1 maupun PS 2, kesian tahu wkwkwk",youtube,sih film horo indonesia berisik banget suara cakap tenggelam gak realistis trus ustadznya dimatiin ps ps kesi wkwkwk,netral
Pendapat saya tentang film ini. Cukup bagus namun saya lebih suka suasana dan cerita pengabdian setan 1. Disini Banyak adegan janggal. Entah saya disini masih bingung dengan asal usul kakek tua dan sepasang kekasih di ending film nya. Dan Masih banyak scene yang kurang terungkap dengan jelas. Kayaknya masih ada film lanjutannya 🙏,youtube,dapat film bagus suka suasana cerita abdi setan adegan janggal bingung usul kakek tua pasang kasih ending film nya scene ungkap kayak film lanjut,positif
"Ktanya akan ada yg ke 3, di Rumah ibu lgi ya?",youtube,ktanya yg rumah lgi ya,netral
Satu satunya film yang gw nonton sebanyak 5kali di bioskop,youtube,satu film gw nonton kali bioskop,netral
Sukaa sama pengabdi setan karna  horornya gak kebanyakan drama,youtube,sukaa abdi setan karna horor gak banyak drama,positif
"Gak nyangka bisa ngeliat ratu felisha lgi di film horror setelah sekian lma menghilang, anak 90'an pasti tau siapa ratu felisha",youtube,gak nyangka ngeliat ratu felisha lgi film horror sekian lma hilang anak an tau ratu felisha,netral
"Insidious, The Conjuring, The Nun,  dicampur tambahin sambel terasi = Pengabdi Setan 😂😂😂😂😂😂",youtube,insidious the conjuring the nun campur tambahin sambel terasi abdi setan,netral
Musik nya mirip sama insidious,youtube,musik nya insidious,netral
Ini part 2?? Atau yg sama yang ditayang dulu??,youtube,part yg tayang,netral
Hal yang gw pelajari dari top global zilong,youtube,gw ajar top global zilong,netral
Pdhal film udh lama.bru komen skrg😁,youtube,pdhal film udh lamabru komen skrg,netral
hal yg gw pelajari dari film pengabdi setan 2,youtube,yg gw ajar film abdi setan,netral
Awokwokw,youtube,awokwokw,netral
Pdahal modal nonton bajakan:),youtube,pdahal modal nonton baja,netral
​ @danilad803 nonton bajakan atau kagak memang kurang seram dan kurang disturbing.. Tp sbnrnya sdh cukup ok utk film indonesia,youtube,danilad nonton baja kagak seram disturbing tp sbnrnya sdh ok utk film indonesia,positif
 @danilad803  di disney udah ada. emang kurang bagus malah bagusan yang pertama. kalo yang kedua kebanyakan cgi sama banyak scene ga penting,youtube,danilad disney udah emang bagus bagus kalo banyak cgi scene ga,positif
Baru komen ya kak? Nonton di bioskop apa bajakan? 😭,youtube,komen ya kak nonton bioskop baja,netral
Ini kualitas nya tinggi njrirrt bisa sampe IMAX,youtube,kualitas nya njrirrt sampe imax,netral
Lu nnton d bioskop apa hasil bajakan burik😂,youtube,lu nnton d bioskop hasil baja burik,netral
grafik apaan? haha.,youtube,grafik haha,netral
 @sekawaelwilliam2693  CGI kurng,youtube,sekawaelwilliam cgi kurng,netral
nah itu kayanya nnti diungkapin di film selanjutnya. kalau soal kakek tua klo dibuat spin off bagus juga mengenai dari awal kakek tua ini menginvestigasi soal komunitas pemuja setan yg ada d film ini.,youtube,kaya nnti diungkapin film kakek tua klo spin off bagus kakek tua investigasi komunitas puja setan yg d film,positif
 @sekawaelwilliam2693  menurut saya kakek tua di pengabdi setan 1 dia karakternya lebih antagonis. Sedangkan di pengabdi setan 2 malah lebih ke protagonis. Agak misterius ya🙏😁,youtube,sekawaelwilliam kakek tua abdi setan karakter antagonis abdi setan protagonis misterius ya,netral
drumah budi,youtube,drumah budi,netral
Ybhhjd bvgcbvdbbcbcbb,youtube,ybhhjd bvgcbvdbbcbcbb,netral
bapak di pengabdi setan 2 🥶,youtube,abdi setan,netral
"Where to watch the part 2 communion, I love the first part",youtube,where to watch the part communion i love the first part,netral
"sya bingung dengan driku ini, kok masih mrasa kurang seram ya",youtube,sya bingung driku mrasa seram ya,positif
Cuma pengabdi setan film horor Indonesia yg bikin q merinding,youtube,abdi setan film horor indonesia yg bikin q merinding,netral
pengabdi setan 4 lagi,youtube,abdi setan,netral
Yang tayang yang pertama mulu di Trans 7,youtube,tayang mulu trans,netral
Pengabdi Setan 2 kenapa ga tayang di TV ya padahal seru,youtube,abdi setan ga tayang tv ya seru,netral
"Huuft ,Masih mengadopsi gaya2 film Conjuring 🙄,, aku harap kedapan Joko Anwar tidak menghilangkan jati diri horor Indonesia,, seperti film perempuan tanah jahanam film itu khas Indonesia bnget",youtube,huuft adopsi gaya film conjuring harap kedap joko anwar hilang jati horor indonesia film perempuan tanah jahanam film khas indonesia bnget,netral
Ni yg bikin filim GK ada otak atau gimana masa ustad di bikin gitu malah di putar palanya,youtube,ni yg bikin filim gk otak gimana ustad bikin gitu putar pala,netral
0:29 😂😂😂😂😂😂 There's no god but Allah 😂😂😂😂😂😂😂😂😂🐽,youtube,theres no god but allah,netral
"Love from India, kerala💞",youtube,love from india kerala,netral
"Pengabdi setan 1 menurutku eksekusi endingnya masih kagok, tapi untuk alur dan lain-lainnya kece parah si. Makanya masih mau liat PS 2, dan wow, terrornya ga murahan, dari awal sampe akhir dibuat kagum, totalitas banget",youtube,abdi setan turut eksekusi endingnya kagok alur lainlainnya kece parah si liat ps wow terrornya ga murah sampe kagum totalitas banget,netral
"Film yang Keren! Fantastic, 1000/1000 Stars! Joko Anwar memeng Pintar menulis Cerita Horror yang kualitas tinggi!!! 
🤩",youtube,film keren fantastic stars joko anwar memeng pintar tulis cerita horror kualitas,positif
Bang sepupu saya pernah ke tempat scuting,youtube,bang sepupu scuting,netral
"di scene akhir dikatakan. ""ada kekuatan yg lebih jahat dan lebih besar, nanti akan aku ceritakan semuanya"". 

fix. ada lanjutannya. Pengabdi setan 3.",youtube,scene kuat yg jahat cerita fix lanjut abdi setan,netral
Seru banget film nya same takut ke kamar mandi wkwkwkwkwk,youtube,seru banget film nya same takut kamar mandi wkwkwkwkwk,netral
ijjati movie sound effects oke chumma 🔥,youtube,ijjati movie sound effects oke chumma,netral
Name frst bengali setan nn vayichu😂,youtube,name frst bengal setan nn vayichu,netral
First time watching Indonesian cinema. Looks amazing. Please recommend some good Indonesian movies . Love from India 🇮🇳,youtube,first time watching indonesian cema looks amazing please recommend some good indonesian movies love from india,netral
On shudder,youtube,on shudder,netral
kapan bang,youtube,bang,netral
 @farell2583  tayang kemarin malam jam 22.45,youtube,farell tayang kemarin malam jam,netral
"waktu mati lampu, ustadznya malah berduaan sama wanita, imannya kalah sama setan",youtube,mati lampu ustadznya dua wanita iman kalah setan,netral
"Ya kebanyakan film horor sekarang ya gitu, pemuka agama akan kalah dengan setannya, sama tuh kaya film horor diluar yang mana pendeta akan menjadi korban, malah justru yang nyelamatin alur cerita itu orang mistis kaya kakek dukun gitu.",youtube,ya banyak film horor ya gitu muka agama kalah setan tuh kaya film horor luar pendeta korban nyelamatin alur cerita orang mistis kaya kakek dukun gitu,netral
idiot pajeet,youtube,idiot pajeet,netral
rumor ny ampe pengabdi setan 4 om,youtube,rumor ny ampe abdi setan om,netral
​ @Erwan000 sok tau,youtube,erwan sok tau,netral
Bro how's this movie?,youtube,bro hows this movie,netral
"- Imperigore 
- the queen of black magic
- photocopier
- the Raid 1 & 2
- the night comes from us",youtube,imperigore the queen of black magic photocopier the raid the night comes from us,netral
The queen of black magic it was great if you like some body horror,youtube,the queen of black magic it was great if you like some body horror,netral
"Guys Is This Movie Available For Streaming?
A Big Fan Of Joko Anwar From India",youtube,guys is this movie available for streaming a big fan of joko anwar from india,netral
"Ini masi ada lanjutan ceritanya ya,,, gua heran aja, sma kawan nya doni, yg sering di gebukin oleh bapak nya, trus bapak nya mati di lift. Trus ibu nya gantung diri, dan adek cewek nya di bunuh sma hantunya... Tapi dia biasa2 aja. Padahal keluarganya pada mati..",youtube,mas lanjut cerita ya gua heran aja sma kawan nya doni yg gebukin nya trus nya mati lift trus nya gantung adek cewek nya bunuh sma hantu aja keluarga mati,netral
Mmg best dah tengok mantap lakonannya,youtube,mmg best dah tengok mantap lakon,positif
Bang yang kurang balik bok,youtube,bang bok,netral
Horor kualitas internasional.,youtube,horor kualitas internasional,netral
"Menurut saya, Darminah dan Batara BISA JADI membantu keluarga Suwono dengan cara mereka sendiri, dan saya tidak tahu caranya. Cuma Pak Joko dan tim nya yang tahu selain Tuhan. Opini ini berdasar pada akhir scene dialog mereka berdua yang mengatakan bahwa tidak berada pada pihak manapun. Pada film pertama mereka berdua juga mengatakan bahwa keluarga Suwono harus dipastikan tidak pindah ke tempat lain (Eh akhirnya pindah deh, pindahnya ke rusun maut). Namun tidak tahu akan seperti apa Pak Joko Anwar membawa film ini di masa datang (harus ada lanjutannya, please Rapi Films) karena memang dia raja plot twist dan masih ada potongan-potongan puzzle yang hilang sehingga saya punya opini sesat semacam ini. Selamat  Pak Joko.",youtube,darminah batara bantu keluarga suwono joko tim nya tuhan opini dasar scene dialog dua mana film dua keluarga suwono pindah eh pindah deh pindah rusun maut joko anwar bawa film lanjut please rapi films raja plot twist potonganpotongan puzzle hilang opini sesat selamat joko,netral
G ngerti gue film ini..,youtube,g ngerti gue film,netral
bangunannya mirip the raid 1,youtube,bangun the raid,netral
Как фильм?,youtube,,netral
"Menurut aku ini film alur ny ga jelas bgt, seram ny oke tp ga jelas, lebih bagus yg ke1.. Bad bgt",youtube,film alur ny ga bgt seram ny oke tp ga bagus yg bad bgt,positif
When will this horror masterpiece be on Blu-ray or even 4K Blu-ray? Any release date? Can't wait for it,youtube,when will this horror masterpiece be on bluray or even k bluray any release date cant wait for it,netral
"film paling angker & terheboh sepanjang masa ini

film favorit saya, seram & angkernya dapat banget membuat penonton keringat dingin & merinding + ketakutan sangat mencekam film ini....",youtube,film angker heboh film favorit seram angker banget tonton keringat dingin merinding takut cekam film,positif
idham sudah manggil hantu ya Horor,youtube,idham manggil hantu ya horor,netral
"Ga ada yg bikin film tentang mati nya kluarga karena kelaparan di negri ini.. atau tentang nepotisme, atau tentang rusak nya alam oleh bnyak pengusaha, atau tentang perenggutan kemaslahatan banyak org di negri ini",youtube,ga yg bikin film mati nya kluarga lapar negri nepotisme rusak nya alam bnyak usaha renggut maslahat org negri,netral
Promo pelem indonesia.lebay tingkat akut dri sutradara anula pnulis anula seolah uda siap pula ngalahin karya2 international.trnyata cuman karya abal2 monoton dan bikin garing 😂😂😂😂😂,youtube,promo lem indonesialebay tingkat akut dri sutradara anula pnulis anula uda ngalahin karya internationaltrnyata cuman karya abal monoton bikin garing,netral
"Gasempet nonton ini karna udah tetlanjut sakit hati banget, karna di film pengabdi setan 2 ini doi ketauan nonton sama cwe lain 😊😊",youtube,gasempet nonton karna udah tetlanjut sakit hati banget karna film abdi setan doi tau nonton cwe,netral
serem banget,youtube,rem banget,netral
"Film apa ini....rusak smua . G nyambung , mirip hantu indosiar.",youtube,film inirusak smua g nyambung hantu indosiar,netral
"Klu ada filmnya yg full? Pngen skli nnton, gk dpt2 dibyutub",youtube,klu film yg full pngen skli nnton gk dpt dibyutub,netral
Pengen nonton lagi 😢,youtube,ken nonton,netral
